PIN STM32 F411CEU6,KEGUNAAN,KETERANGAN
PB15,LIMIT SWITCH DRAIN STATION,sensor untuk gerakan maks untuk stepper
PB14,IR DRAIN STATION,sensor untuk menghantikan baterai di drain station
PB13,IR CADANGAN,sensor cadangan jika diperlukan
PB12,IR SORTING STATION,sensor untuk menghantikan baterai di sorting station
PB9,PUL STEPPER DRAIN STATION,
PB7,SDA,
PB6,SCL,
PB5,EMERGENCY BUTTON,
PB1,ENCODER DAC,logika menyalakan dan mematikan DAC supaya tidak noise
PB0,DIR STEPPER DRAIN STATION,
PA8,PUL STEPPER SORTING STATION,
PA7,ENCODER STEPPER DRAIN STATION,
PA6,ENCODER STEPPER SORTING STATION,
PA5,ENABLE BTS 7960,
PA4,LIMIT SWITCH SORTING STATION,sensor untuk gerakan maks untuk stepper
PA3,DIR STEPPER SORTING STATION,
PA2,L PWM BTS 7960,
PA1,R PWM BTS 7960,
