battery_id,t_ms,voltage,current,temp
BAT_001,0,4.0185,0.9926,25.06
BAT_001,20,3.9981,0.995,25.07
BAT_001,40,3.9815,1.0057,25.07
BAT_001,60,3.966,1.0044,25.15
BAT_001,80,3.9517,1.0002,25.15
BAT_001,100,3.9358,1.0032,25.17
BAT_001,120,3.9265,1.0053,25.23
BAT_001,140,3.9175,1.008,25.28
BAT_001,160,3.9053,0.9928,25.18
BAT_001,180,3.8947,1.0025,25.35
BAT_001,200,3.8888,1.0021,25.16
BAT_001,220,3.8826,0.9921,25.28
BAT_001,240,3.875,1.0015,25.32
BAT_001,260,3.8656,1.0059,25.34
BAT_001,280,3.8591,1.0064,25.42
BAT_001,300,3.8555,0.9992,25.37
BAT_001,320,3.8529,1.0068,25.39
BAT_001,340,3.8487,1.0043,25.45
BAT_001,360,3.8439,1.0039,25.39
BAT_001,380,3.8406,1.0011,25.55
BAT_001,400,3.8368,0.9993,25.48
BAT_001,420,3.8311,1.0001,25.52
BAT_001,440,3.8318,1.0053,25.62
BAT_001,460,3.8271,0.998,25.52
BAT_001,480,3.8294,0.9889,25.73
BAT_001,500,3.8278,1.0045,25.62
BAT_001,520,3.8205,1.0017,25.66
BAT_001,540,3.8217,0.9939,25.61
BAT_001,560,3.8231,0.9963,25.69
BAT_001,580,3.8154,0.9961,25.69
BAT_001,600,3.8178,1.0062,25.67
BAT_001,620,3.8177,0.9955,25.74
BAT_001,640,3.8175,1.008,25.77
BAT_001,660,3.8144,0.9869,25.79
BAT_001,680,3.8121,1.0055,25.85
BAT_001,700,3.8149,0.995,25.85
BAT_001,720,3.8147,1.0065,25.96
BAT_001,740,3.8161,0.9948,25.83
BAT_001,760,3.8101,1.0036,25.92
BAT_001,780,3.8144,0.9992,25.92
BAT_001,800,3.8117,0.9982,25.93
BAT_001,820,3.8092,0.9909,26.02
BAT_001,840,3.8088,1.0052,26.03
BAT_001,860,3.8098,0.999,25.93
BAT_001,880,3.8077,1.0112,25.99
BAT_001,900,3.8078,0.9924,26.03
BAT_001,920,3.8053,0.9977,26.02
BAT_001,940,3.8087,0.9968,26.08
BAT_001,960,3.8073,1.0063,26.11
BAT_001,980,3.806,0.9997,26.12
BAT_001,1000,3.8051,1.0012,26.15
BAT_001,1020,3.8043,1.0053,26.16
BAT_001,1040,3.8074,0.9922,26.17
BAT_001,1060,3.8068,0.9956,26.21
BAT_001,1080,3.8068,0.9981,26.24
BAT_001,1100,3.8032,0.9961,26.17
BAT_001,1120,3.8061,1.0069,26.3
BAT_001,1140,3.8033,0.9986,26.28
BAT_001,1160,3.7999,1.0025,26.34
BAT_001,1180,3.8021,0.9994,26.36
BAT_001,1200,3.8049,1.0014,26.34
BAT_001,1220,3.8041,0.9908,26.44
BAT_001,1240,3.8041,0.9992,26.4
BAT_001,1260,3.805,1.0046,26.43
BAT_001,1280,3.804,0.9901,26.45
