battery_id,t_ms,voltage,current,temp
BAT_001,0,4.0976,1.006,24.45
BAT_001,20,4.0914,0.9977,24.42
BAT_001,40,4.0811,0.9986,24.44
BAT_001,60,4.0752,1.0063,24.5
BAT_001,80,4.0703,0.9937,24.45
BAT_001,100,4.0605,0.9972,24.53
BAT_001,120,4.0599,1.0009,24.51
BAT_001,140,4.0532,0.9937,24.46
BAT_001,160,4.0482,0.9915,24.5
BAT_001,180,4.0417,1.0024,24.5
BAT_001,200,4.0439,1.0037,24.61
BAT_001,220,4.0412,1.0021,24.5
BAT_001,240,4.037,0.9935,24.58
BAT_001,260,4.0366,1.0027,24.59
BAT_001,280,4.0337,1.0048,24.55
BAT_001,300,4.0309,0.9995,24.5
BAT_001,320,4.027,1.0019,24.56
BAT_001,340,4.0252,1.0047,24.61
BAT_001,360,4.0243,1.0033,24.64
BAT_001,380,4.0233,0.9983,24.62
BAT_001,400,4.0206,0.9933,24.6
BAT_001,420,4.0181,1.0027,24.68
BAT_001,440,4.0189,1.0044,24.64
BAT_001,460,4.0173,0.9963,24.68
BAT_001,480,4.0198,0.9996,24.63
BAT_001,500,4.0194,0.9971,24.72
BAT_001,520,4.0184,0.9995,24.73
BAT_001,540,4.0137,1.0027,24.67
BAT_001,560,4.0097,0.998,24.68
BAT_001,580,4.0149,1.0021,24.78
BAT_001,600,4.0166,1.0094,24.75
BAT_001,620,4.0144,1.0037,24.79
BAT_001,640,4.0153,0.9966,24.74
BAT_001,660,4.0157,1.007,24.84
BAT_001,680,4.0116,0.9996,24.73
BAT_001,700,4.0156,0.9911,24.77
BAT_001,720,4.0095,0.996,24.84
BAT_001,740,4.0095,1.0006,24.87
BAT_001,760,4.0166,0.9978,24.84
BAT_001,780,4.0102,0.9986,24.78
BAT_001,800,4.0097,1.0065,24.83
BAT_001,820,4.0117,1.0015,24.81
BAT_001,840,4.0123,1.0065,24.85
BAT_001,860,4.0091,1.0004,24.74
BAT_001,880,4.0103,0.9957,24.9
BAT_001,900,4.0118,1.0065,24.9
BAT_001,920,4.0073,0.9979,24.85
BAT_001,940,4.0107,1.0118,24.87
BAT_001,960,4.0116,1.0072,24.89
BAT_001,980,4.0082,1.0069,25.02
BAT_001,1000,4.011,0.9891,24.94
BAT_001,1020,4.0079,1.0028,24.91
BAT_001,1040,4.008,0.9955,24.92
BAT_001,1060,4.0093,0.9918,25.0
