timestamp,battery_id,cycle_time_s,v_resting,v_loaded,v_drop,current_load,internal_r,temp_pre,temp_post,temp_delta,soh_predicted,vision_score,defects_detected,grade_predicted,grade_ground_truth,passport_pdf
2026-05-28T09:00:00,BAT_001,20.98,4.0969,4.0126,0.0843,1.0,0.0843,24.43,25.48,1.05,80.47,0.881,none,A,A,data/passports/BAT_001.pdf
2026-05-28T09:00:22,BAT_002,18.79,4.1147,4.035,0.0797,1.0,0.0797,24.04,24.93,0.89,87.21,0.803,none,A,A,data/passports/BAT_002.pdf
2026-05-28T09:00:44,BAT_003,20.41,4.101,3.9879,0.1132,1.0,0.1132,24.62,25.96,1.34,79.44,0.572,dent,B,B,data/passports/BAT_003.pdf
2026-05-28T09:01:06,BAT_004,20.12,4.1124,3.9838,0.1285,1.0,0.1285,25.13,26.2,1.07,84.41,0.748,rust,B,B,data/passports/BAT_004.pdf
2026-05-28T09:01:28,BAT_005,19.43,3.9883,3.7665,0.2218,1.0,0.2218,25.78,28.15,2.37,54.65,0.306,rust,R,R,data/passports/BAT_005.pdf
2026-05-28T09:01:50,BAT_006,22.63,4.1386,4.0096,0.129,1.0,0.129,24.08,25.01,0.93,86.7,0.247,leaking;rust,R,R,data/passports/BAT_006.pdf
2026-05-28T09:02:12,BAT_007,18.67,4.1584,4.0892,0.0692,1.0,0.0692,25.33,25.86,0.53,94.23,0.679,rust,B,A,data/passports/BAT_007.pdf
2026-05-28T09:02:34,BAT_008,20.24,4.0626,3.908,0.1546,1.0,0.1546,25.81,27.42,1.61,74.63,0.468,rust,B,B,data/passports/BAT_008.pdf
2026-05-28T09:02:56,BAT_009,21.05,4.0739,3.8885,0.1854,1.0,0.1854,24.76,26.39,1.63,72.53,0.621,rust;dent,B,B,data/passports/BAT_009.pdf
2026-05-28T09:03:18,BAT_010,21.31,4.0527,3.8541,0.1986,1.0,0.1986,25.26,27.19,1.93,65.21,0.705,rust;dent,B,B,data/passports/BAT_010.pdf
2026-05-28T09:03:40,BAT_011,22.42,3.9113,3.5672,0.3441,1.0,0.3441,24.84,28.28,3.44,34.12,0.397,dent;rust,R,R,data/passports/BAT_011.pdf
2026-05-28T09:04:02,BAT_012,20.92,4.047,3.8493,0.1977,1.0,0.1977,25.98,27.77,1.79,67.46,0.589,dent,B,B,data/passports/BAT_012.pdf
2026-05-28T09:04:24,BAT_013,19.63,3.9511,3.6689,0.2822,1.0,0.2822,24.22,27.2,2.98,41.95,0.047,major_dent,R,R,data/passports/BAT_013.pdf
2026-05-28T09:04:46,BAT_014,19.58,4.1041,3.9469,0.1572,1.0,0.1572,24.12,25.45,1.33,75.97,0.481,none,B,B,data/passports/BAT_014.pdf
2026-05-28T09:05:08,BAT_015,21.72,4.1383,4.0446,0.0937,1.0,0.0937,24.24,25.26,1.02,86.52,0.771,none,B,A,data/passports/BAT_015.pdf
2026-05-28T09:05:30,BAT_016,21.48,4.1063,4.0156,0.0907,1.0,0.0907,24.8,25.95,1.15,79.29,0.244,major_dent,R,R,data/passports/BAT_016.pdf
2026-05-28T09:05:52,BAT_017,22.95,4.1394,4.0584,0.0809,1.0,0.0809,25.42,26.37,0.95,87.91,1.0,none,A,A,data/passports/BAT_017.pdf
2026-05-28T09:06:14,BAT_018,22.0,4.0781,3.9688,0.1093,1.0,0.1093,24.11,25.73,1.62,72.88,0.688,dent,B,B,data/passports/BAT_018.pdf
2026-05-28T09:06:36,BAT_019,20.22,4.1007,4.0013,0.0993,1.0,0.0993,24.29,25.52,1.23,76.91,0.697,rust,B,B,data/passports/BAT_019.pdf
2026-05-28T09:06:58,BAT_020,19.74,4.0694,3.8687,0.2006,1.0,0.2006,25.52,27.07,1.55,66.76,0.697,none,B,B,data/passports/BAT_020.pdf
2026-05-28T09:07:20,BAT_021,19.97,4.1391,4.065,0.0741,1.0,0.0741,24.42,25.4,0.98,87.97,0.732,none,B,A,data/passports/BAT_021.pdf
2026-05-28T09:07:42,BAT_022,19.27,3.9843,3.7602,0.2241,1.0,0.2241,24.69,27.11,2.43,49.69,0.142,rust,R,R,data/passports/BAT_022.pdf
2026-05-28T09:08:04,BAT_023,21.73,4.159,4.0697,0.0893,1.0,0.0893,25.5,26.31,0.8,92.91,1.0,none,A,A,data/passports/BAT_023.pdf
2026-05-28T09:08:26,BAT_024,22.55,4.0981,3.9386,0.1596,1.0,0.1596,25.48,26.72,1.25,81.62,0.553,dent,B,B,data/passports/BAT_024.pdf
2026-05-28T09:08:48,BAT_025,22.6,3.957,3.6802,0.2768,1.0,0.2768,24.52,27.24,2.72,52.22,0.01,major_dent,R,R,data/passports/BAT_025.pdf
2026-05-28T09:09:10,BAT_026,18.88,4.062,3.8713,0.1908,1.0,0.1908,24.93,26.85,1.93,63.46,0.699,dent,B,B,data/passports/BAT_026.pdf
2026-05-28T09:09:32,BAT_027,21.0,4.1818,4.1106,0.0712,1.0,0.0712,25.92,26.39,0.46,95.45,0.844,none,A,A,data/passports/BAT_027.pdf
2026-05-28T09:09:54,BAT_028,20.36,3.979,3.7254,0.2536,1.0,0.2536,25.54,28.37,2.83,43.77,0.57,dent;rust,R,R,data/passports/BAT_028.pdf
2026-05-28T09:10:16,BAT_029,19.41,3.9791,3.7185,0.2605,1.0,0.2605,24.12,26.84,2.71,49.85,0.435,leaking,R,R,data/passports/BAT_029.pdf
2026-05-28T09:10:38,BAT_030,22.86,3.9205,3.6211,0.2994,1.0,0.2994,25.37,28.84,3.47,31.11,0.379,dent;rust,R,R,data/passports/BAT_030.pdf
2026-05-28T09:11:00,BAT_031,20.86,4.1439,4.0432,0.1007,1.0,0.1007,25.62,26.35,0.73,89.47,0.956,none,A,A,data/passports/BAT_031.pdf
2026-05-28T09:11:22,BAT_032,18.56,4.0488,3.8896,0.1591,1.0,0.1591,25.21,27.11,1.89,68.15,0.477,rust;dent,B,B,data/passports/BAT_032.pdf
2026-05-28T09:11:44,BAT_033,20.46,4.0193,3.8065,0.2128,1.0,0.2128,24.25,26.26,2.01,60.07,0.791,rust,B,B,data/passports/BAT_033.pdf
2026-05-28T09:12:06,BAT_034,21.08,4.1424,4.0538,0.0886,1.0,0.0886,24.85,25.58,0.72,94.43,0.958,none,A,A,data/passports/BAT_034.pdf
2026-05-28T09:12:28,BAT_035,22.06,3.9923,3.7455,0.2468,1.0,0.2468,24.76,27.46,2.71,49.66,0.0,leaking,R,R,data/passports/BAT_035.pdf
2026-05-28T09:12:50,BAT_036,22.13,4.1177,4.0554,0.0623,1.0,0.0623,25.16,26.17,1.01,89.31,0.809,none,A,A,data/passports/BAT_036.pdf
